IfUnderDDoSAttackIfUnderDDoSAttack,DDoS 攻撃中かどうかUnder DDoS attack or not,CountCount,最大値Maximum,DDoS 攻撃中かどうかUnder DDoS attack or not,ディメンションなしNo Dimensions,,,,,,,
DDoSTriggerTCPPacketsDDoSTriggerTCPPackets,DDoS 軽減をトリガーする受信 TCP パケット数Inbound TCP packets to trigger DDoS mitigation,CountPerSecondCountPerSecond,最大値Maximum,DDoS 軽減をトリガーする受信 TCP パケット数Inbound TCP packets to trigger DDoS mitigation,ディメンションなしNo Dimensions,,,,,,,
DDoSTriggerUDPPacketsDDoSTriggerUDPPackets,DDoS 軽減をトリガーする受信 UDP パケット数Inbound UDP packets to trigger DDoS mitigation,CountPerSecondCountPerSecond,最大値Maximum,DDoS 軽減をトリガーする受信 UDP パケット数Inbound UDP packets to trigger DDoS mitigation,ディメンションなしNo Dimensions,,,,,,,
DDoSTriggerSYNPacketsDDoSTriggerSYNPackets,DDoS 軽減をトリガーする受信 SYN パケット数Inbound SYN packets to trigger DDoS mitigation,CountPerSecondCountPerSecond,最大値Maximum,DDoS 軽減をトリガーする受信 SYN パケット数Inbound SYN packets to trigger DDoS mitigation,ディメンションなしNo Dimensions,,,,,,,
VipAvailabilityVipAvailability,データ パスの可用性Data Path Availability,CountCount,平均Average,期間あたりの IP アドレス可用性平均Average IP Address availability per time duration,PortPort,,,,,,,
ByteCountByteCount,Byte Count (バイト数)Byte Count,CountCount,合計Total,期間内に送信された合計バイト数Total number of Bytes transmitted within time period,"Port、DirectionPort, Direction",,,,,,,
PacketCountPacketCount,Packet Count (パケット数)Packet Count,CountCount,合計Total,期間内に送信された合計パケット数Total number of Packets transmitted within time period,"Port、DirectionPort, Direction",,,,,,,
SynCountSynCount,SYN Count (SYN 数)SYN Count,CountCount,合計Total,期間内に送信された合計 SYN パケット数Total number of SYN Packets transmitted within time period,"Port、DirectionPort, Direction",,,,,,,
,,,,,,,,,,,,
Microsoft.Network/azurefirewallsMicrosoft.Network/azurefirewalls,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
ApplicationRuleHitApplicationRuleHit,アプリケーション規則のヒット数Application rules hit count,CountCount,合計Total,アプリケーション規則がヒットした回数Number of times Application rules were hit,"Status、Reason、ProtocolStatus, Reason, Protocol",,,,,,,
NetworkRuleHitNetworkRuleHit,ネットワーク規則のヒット数Network rules hit count,CountCount,合計Total,ネットワーク規則がヒットした回数Number of times Network rules were hit,"Status、Reason、ProtocolStatus, Reason, Protocol",,,,,,,
,,,,,,,,,,,,
Microsoft.Network/applicationGatewaysMicrosoft.Network/applicationGateways,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
スループットThroughput,スループットThroughput,BytesPerSecondBytesPerSecond,合計Total,Application Gateway が処理した 1 秒あたりのバイト数Number of bytes per second the Application Gateway has served,ディメンションなしNo Dimensions,,,,,,,
UnhealthyHostCountUnhealthyHostCount,異常なホストの数Unhealthy Host Count,CountCount,平均Average,異常なバックエンド ホストの数Number of unhealthy backend hosts,BackendSettingsPoolBackendSettingsPool,,,,,,,
HealthyHostCountHealthyHostCount,正常なホストの数Healthy Host Count,CountCount,平均Average,正常なバックエンド ホストの数Number of healthy backend hosts,BackendSettingsPoolBackendSettingsPool,,,,,,,
TotalRequestsTotalRequests,要求の合計数Total Requests,CountCount,合計Total,Application Gateway が処理した成功した要求の数Count of successful requests that Application Gateway has served,BackendSettingsPoolBackendSettingsPool,,,,,,,
FailedRequestsFailedRequests,失敗した要求Failed Requests,CountCount,合計Total,Application Gateway が処理した失敗した要求の数Count of failed requests that Application Gateway has served,BackendSettingsPoolBackendSettingsPool,,,,,,,
ResponseStatusResponseStatus,応答の状態Response Status,CountCount,合計Total,Application Gateway によって返された HTTP 応答の状態Http response status returned by Application Gateway,HttpStatusGroupHttpStatusGroup,,,,,,,
CurrentConnectionsCurrentConnections,現在の接続数Current Connections,CountCount,合計Total,Application Gateway で確立された現在の接続の数Count of current connections established with Application Gateway,ディメンションなしNo Dimensions,,,,,,,
CapacityUnitsCapacityUnits,現在の容量ユニットCurrent Capacity Units,CountCount,平均Average,使用された容量ユニットCapacity Units consumed,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/virtualNetworkGatewaysMicrosoft.Network/virtualNetworkGateways,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
AverageBandwidthAverageBandwidth,ゲートウェイの S2S 帯域幅Gateway S2S Bandwidth,BytesPerSecondBytesPerSecond,平均Average,1 秒あたりのゲートウェイのサイト対サイト帯域幅の平均 (バイト単位)Average site-to-site bandwidth of a gateway in bytes per second,ディメンションなしNo Dimensions,,,,,,,
P2SBandwidthP2SBandwidth,ゲートウェイの P2S 帯域幅Gateway P2S Bandwidth,BytesPerSecondBytesPerSecond,平均Average,1 秒あたりのゲートウェイのポイント対サイト帯域幅の平均 (バイト単位)Average point-to-site bandwidth of a gateway in bytes per second,ディメンションなしNo Dimensions,,,,,,,
P2SConnectionCountP2SConnectionCount,P2S 接続数P2S Connection Count,CountCount,最大値Maximum,ゲートウェイのポイント対サイト接続の数Point-to-site connection count of a gateway,ProtocolProtocol,,,,,,,
TunnelAverageBandwidthTunnelAverageBandwidth,Tunnel Bandwidth (トンネル帯域幅)Tunnel Bandwidth,BytesPerSecondBytesPerSecond,平均Average,1 秒あたりの平均トンネル帯域幅バイト数Average bandwidth of a tunnel in bytes per second,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
TunnelEgressBytesTunnelEgressBytes,Tunnel Egress Bytes (トンネル エグレス バイト数)Tunnel Egress Bytes,BytesBytes,合計Total,トンネルの送信バイト数Outgoing bytes of a tunnel,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
TunnelIngressBytesTunnelIngressBytes,Tunnel Ingress Bytes (トンネル イングレス バイト数)Tunnel Ingress Bytes,BytesBytes,合計Total,トンネルの受信バイト数Incoming bytes of a tunnel,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
TunnelEgressPacketsTunnelEgressPackets,Tunnel Egress Packets (トンネル エグレス パケット数)Tunnel Egress Packets,CountCount,合計Total,トンネルの送信パケット数Outgoing packet count of a tunnel,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
TunnelIngressPacketsTunnelIngressPackets,Tunnel Ingress Packets (トンネル イングレス パケット数)Tunnel Ingress Packets,CountCount,合計Total,トンネルの受信パケット数Incoming packet count of a tunnel,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
TunnelEgressPacketDropTSMismatchTunnelEgressPacketDropTSMismatch,Tunnel Egress TS Mismatch Packet Drop (トンネル エグレス TS 不一致パケット破棄数)Tunnel Egress TS Mismatch Packet Drop,CountCount,合計Total,トンネルのトラフィック セレクター不一致からの発信パケット破棄数Outgoing packet drop count from traffic selector mismatch of a tunnel,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
TunnelIngressPacketDropTSMismatchTunnelIngressPacketDropTSMismatch,Tunnel Ingress TS Mismatch Packet Drop (トンネル イングレス TS 不一致パケット破棄数)Tunnel Ingress TS Mismatch Packet Drop,CountCount,合計Total,トンネルのトラフィック セレクター不一致からの受信パケット破棄数Incoming packet drop count from traffic selector mismatch of a tunnel,"ConnectionName、RemoteIPConnectionName, RemoteIP",,,,,,,
,,,,,,,,,,,,
Microsoft.Network/expressRouteCircuitsMicrosoft.Network/expressRouteCircuits,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
BitsInPerSecond (受信ビット数/秒)BitsInPerSecond,BitsInPerSecond (受信ビット数/秒)BitsInPerSecond,CountPerSecondCountPerSecond,平均Average,1 秒あたりの Azure へのイングレス ビット数Bits ingressing Azure per second,PeeringTypePeeringType,,,,,,,
BitsOutPerSecond (送信ビット数/秒)BitsOutPerSecond,BitsOutPerSecond (送信ビット数/秒)BitsOutPerSecond,CountPerSecondCountPerSecond,平均Average,1 秒あたりの Azure からのエグレス ビット数Bits egressing Azure per second,PeeringTypePeeringType,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/expressRouteCircuits/peeringsMicrosoft.Network/expressRouteCircuits/peerings,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
BitsInPerSecond (受信ビット数/秒)BitsInPerSecond,BitsInPerSecond (受信ビット数/秒)BitsInPerSecond,CountPerSecondCountPerSecond,平均Average,1 秒あたりの Azure へのイングレス ビット数Bits ingressing Azure per second,ディメンションなしNo Dimensions,,,,,,,
BitsOutPerSecondBitsOutPerSecond,BitsOutPerSecond (送信ビット数/秒)BitsOutPerSecond,CountPerSecondCountPerSecond,平均Average,1 秒あたりの Azure からのエグレス ビット数Bits egressing Azure per second,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/connectionsMicrosoft.Network/connections,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
BitsInPerSecond (受信ビット数/秒)BitsInPerSecond,BitsInPerSecond (受信ビット数/秒)BitsInPerSecond,CountPerSecondCountPerSecond,平均Average,1 秒あたりの Azure へのイングレス ビット数Bits ingressing Azure per second,ディメンションなしNo Dimensions,,,,,,,
BitsOutPerSecondBitsOutPerSecond,BitsOutPerSecond (送信ビット数/秒)BitsOutPerSecond,CountPerSecondCountPerSecond,平均Average,1 秒あたりの Azure からのエグレス ビット数Bits egressing Azure per second,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/trafficManagerProfilesMicrosoft.Network/trafficManagerProfiles,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
QpsByEndpointQpsByEndpoint,Queries by Endpoint Returned (エンドポイント別の返されたクエリ数)Queries by Endpoint Returned,CountCount,合計Total,指定された期間内に Traffic Manager エンドポイントが返された回数Number of times a Traffic Manager endpoint was returned in the given time frame,EndpointNameEndpointName,,,,,,,
ProbeAgentCurrentEndpointStateByProfileResourceIdProbeAgentCurrentEndpointStateByProfileResourceId,Endpoint Status by Endpoint (エンドポイント別のエンドポイント状態)Endpoint Status by Endpoint,CountCount,最大値Maximum,"エンドポイントのプローブの状態が ""有効"" の場合は 1、それ以外の場合は 0。1 if an endpoint's probe status is ""Enabled"", 0 otherwise.",EndpointNameEndpointName,,,,,,,
